"freight_cost_usd","line.item.insurance..usd.","shipment.mode","country","product.group","sub.classification","line.item.quantity","line.item.value","weight_kilograms","pack.price","dosage","scheduled.delivery.date","delivered.to.client.date","shipment_mode_encoded","country_encoded","product_group_encoded","sub_classification_encoded","scheduled_delivery_date","delivered_to_client_date","delivery_time","delivery_category"
807.47,4.86,"Air","Vietnam","ARV","Adult",525,3465,34,6.6,300,"12-Nov-12","12-Nov-12",1,41,3,2,2012-11-12,2012-11-12,0,"On Time"
2682.47,128,"Air","Nigeria","HRDT","HIV test",1000,80000,341,80,0,"19-Jun-07","19-Jun-07",1,29,4,3,2007-06-19,2007-06-19,0,"On Time"
5869.655,224.93,"Air","Côte d'Ivoire","ARV","Pediatric",5513,140581.5,2126,25.5,200,"2-Oct-07","2-Oct-07",1,10,3,6,2007-10-02,2007-10-02,0,"On Time"
4193.49,3.07,"Air","Vietnam","ARV","Pediatric",1000,1920,941,1.92,10,"15-Oct-07","15-Oct-07",1,41,3,6,2007-10-15,2007-10-15,0,"On Time"
1767.38,65.75,"Air","Vietnam","ARV","Adult",500,41095,117,82.19,200,"27-Aug-07","27-Aug-07",1,41,3,2,2007-08-27,2007-08-27,0,"On Time"
3518.38,86.39,"Air","Haiti","HRDT","HIV test",750,53992.5,171,71.99,0,"13-Aug-07","21-Aug-07",1,17,4,3,2007-08-13,2007-08-21,8,"Late"
3097.85,14,"Air","Haiti","HRDT","HIV test",25,8750,60,350,0,"25-Aug-07","25-Aug-07",1,17,4,3,2007-08-25,2007-08-25,0,"On Time"
27869.74,320,"Air","Tanzania","HRDT","HIV test",10000,2e+05,3335,20,0,"16-Oct-07","16-Oct-07",1,38,4,3,2007-10-16,2007-10-16,0,"On Time"
28461.1,320,"Air","Tanzania","HRDT","HIV test",10000,2e+05,3335,20,0,"22-Nov-07","22-Nov-07",1,38,4,3,2007-11-22,2007-11-22,0,"On Time"
28359.8,320,"Air","Tanzania","HRDT","HIV test",10000,2e+05,3335,20,0,"22-Nov-07","22-Nov-07",1,38,4,3,2007-11-22,2007-11-22,0,"On Time"
12237.61,158.72,"Air","Ethiopia","ARV","Adult",64000,99200,4228,1.55,30,"20-Nov-07","20-Nov-07",1,12,3,2,2007-11-20,2007-11-20,0,"On Time"
